source	target
P78347	O15379
P51531	Q969G3
Q9P1Z3	Q15717
Q9P1Z3	Q9Y3Q4
O60506	P84103
O60506	Q9Y3C6
O60506	P62993
Q9Y287	P02545
Q7L7L0	P49736
P10809	P0CG48
P10809	P01023
P12268	Q9UQL6
P12268	P62993
P62873	O60262
P62873	P56524
P51532	O15379
P27694	P13010
P27694	Q15233
P27694	P08670
P27694	Q15717
P27694	Q01844
P27694	O14775
P27694	Q6ZW49
P27694	Q9Y230
P27694	Q5UIP0
P27694	P05412
P48730	P29590
P52701	P13010
Q8TAQ2	Q969G3
Q8TAQ2	P62993
P19338	P13010
P19338	P62993
P19338	Q96QD9
P19338	Q99608
Q15233	Q8NCM8
Q9Y2M0	P0CG48
Q8NHQ1	Q969G3
Q9Y4E8	P0CG48
P63165	Q12888
P01023	Q14576
P12931	Q7Z434
O60814	Q9UQL6
P62826	P37198
P62826	Q9UQL6
P49427	P0CG48
O95273	O75928
P07947	P13010
P07947	Q15717
P07947	Q16543
Q8N8U2	Q9UBU9
Q8N8U2	Q9HCE1
Q8IUQ4	Q9UPY8
P30281	Q13363
P08670	P60022
P05165	P19838
Q9H0A8	P26196
Q9UMS4	P0CG48
P51965	Q93009
P51965	Q9NVP2
Q93077	P49736
Q14191	P13010
Q09028	O15379
Q09028	Q15464
P29590	O14734
P29590	O15379
Q14676	P13010
P62807	P06733
Q96EZ8	P54132
P06748	P29692
Q96ST3	Q969G3
P56545	P29692
P56545	P0CG48
P49458	Q14203
Q15427	Q13247
Q15427	P06241
P09884	P13010
Q8NCM8	Q96F46
Q8NCM8	O75381
Q8NCM8	P31150
Q8NCM8	Q8TCX1
Q8NCM8	Q6ZW49
Q8NCM8	Q9Y230
Q8NCM8	P05412
Q8NCM8	Q15464
Q8NCM8	P55899
P62136	Q9HAV7
P62136	O15379
P19525	Q7Z434
P00338	P63167
O95793	P29692
Q9Y6K9	Q7Z434
Q8WYH8	Q969G3
Q8WYH8	P54257
Q04206	O15379
Q04206	Q9BQ95
Q04206	P55899
Q9BTM1	P49736
P04406	P68104
Q13137	Q7Z434
Q14683	P54132
Q14683	Q15393
Q9BQE3	P68104
Q9UK22	P51668
Q5JR59	Q969G3
Q9HCE1	Q9HAV7
Q9HCE1	Q12926
Q9HCE1	O75439
P61956	P13010
Q9Y2G8	Q71U36
Q9NR30	Q13243
P67870	P55209
P67870	P05166
P67870	O60551
P22061	Q12888
Q8N5R6	Q8ND90
Q8N5R6	P50402
P62736	Q14203
Q12873	O15379
Q9Y4K3	Q7Z434
Q92624	P0CG48
P20585	P12004
P84243	P13010
Q8IYN2	Q9UBU9
O95153	Q7L4P6
Q86XP3	O75533
P55854	P0CG48
Q9Y5B9	P13010
Q9Y5A6	P17028
P05166	P19838
P05166	Q9UBU9
P51668	P0CG48
O76064	P13010
P22681	P13010
P22681	P62993
Q99623	O15379
P49736	P13010
P49736	Q13368
Q14576	P78362
Q14576	Q9BQ95
Q14576	Q12926
Q14576	Q01844
Q14576	Q16543
Q14576	O75381
Q9UKL0	O15379
Q9UKL0	O00327
Q92769	Q969G3
Q16778	P0CG48
O60437	P0CG48
Q9Y3C6	Q8IZ63
Q9Y3C6	Q96SB4
Q9UKV0	O15379
Q92922	Q969G3
P50402	O15379
P50402	P63267
P50402	P31150
Q96SB4	P84103
Q71U36	O15379
P56524	O15379
Q07021	Q7Z434
Q07021	P13010
Q07021	Q9NPH0
Q8WWM7	P26196
P08238	P0CG48
P08238	Q969U6
P08238	O75161
P08238	P04899
P17844	O15379
P63267	P62993
P67809	P13010
P67809	P30419
Q7L4P6	Q93009
Q96GM5	O15379
P12956	P13010
Q9H2X6	Q9UER7
Q9Y265	P0CG48
Q9Y265	Q9UHK0
Q9Y265	P62993
Q8ND90	Q96GS6
P12036	P62993
O60264	P13010
P43246	P13010
P28370	Q16666
P19838	Q96IJ6
Q93008	P0CG48
P11940	P68104
P11940	P62993
Q96EY1	P0CG48
Q96B97	P0CG48
Q13547	O15379
Q13547	O75381
P02545	P84103
P02545	P62993
Q9BQG0	P68104
Q5VSY0	O75161
Q5VSY0	Q99608
Q9UQL6	P13010
P17028	P68104
P25705	P0CG48
P25705	Q10713
P12004	P13010
O95602	P68104
O96006	O75928
Q9H2P0	P63167
Q16666	Q92522
Q16666	P13010
Q9UER7	Q9NPF5
Q9UER7	O15379
Q9HCC0	Q96RQ3
Q9NVP2	P63167
Q9NVP2	P51610
O60519	Q15717
P07195	P12277
P07195	P06733
Q99856	Q12888
Q99856	P0CG48
Q99856	Q15717
Q08211	P13010
Q08211	P16989
P78527	P13010
Q96GS6	O60760
O60262	Q9UHK0
O60262	Q96QD9
O60262	Q9HAV0
O60262	O14775
O60262	Q9NPH0
O60262	P04899
O60262	Q13368
P55209	P0CG48
Q96FJ2	P68104
Q96FJ2	P63167
Q15393	Q14203
P54132	Q92878
P54132	Q12888
P35659	Q12888
O75928	O15379
O75533	O15379
P06241	P13010
P06241	Q9Y3Q4
Q13247	Q08170
Q13247	P84103
P62937	P06733
P62937	P62993
Q93009	P16989
Q13363	O15379
P51808	P63172
Q8IZ63	P62993
Q8WUI4	O15379
P63172	Q14203
Q13243	P84103
P26196	Q08379
P60022	P14735
P60022	Q969U6
P60022	Q10713
P60022	O60551
P60022	P54257
P60022	P30419
P60022	O75439
P60022	Q5UIP0
P51610	P29692
P06733	P18859
P06733	Q12888
Q96GY0	Q14203
P37198	Q969G3
Q08379	Q969G3
Q08379	P62993
Q96RQ3	P29692
Q14203	Q9UPY8
Q14203	Q8TCX1
Q14203	P62993
O14770	Q9HAV0
O95786	Q7Z434
P0CG48	P14735
Q12888	Q6ZW49
Q9UPY8	Q9UHK0
O15379	Q96F46
P13010	P78362
