source	target
Q9BX68	P34897
Q9BX68	P05067
Q9BX68	Q14999
P13010	P61956
P56181	P12236
P46098	Q5T7M9
P46098	Q03519
Q9NX70	Q9ULK4
O14807	P55196
O14807	Q7Z6Z7
O14807	Q8WWW0
O14807	Q9UQ13
O14807	Q7L0Q8
O14807	P62195
O14807	P04049
O14807	Q15369
O14807	Q92565
O14807	P15056
O14807	Q8TEU7
Q13618	Q53RE8
Q13618	P50991
Q13618	Q15233
Q9H159	P29590
P55196	Q15223
P55196	Q04917
Q9BUL8	P12004
P62258	Q00403
P62258	Q96GS6
P62258	Q9BUA3
P62258	Q01814
P55072	P41240
Q9NVC6	Q9ULK4
Q9Y5Q9	Q8WXF8
Q9Y5Q9	P51532
O60506	P27694
O60506	P34741
O60506	P06213
O75530	Q9NRP0
O75530	P29692
Q8NF91	Q16666
Q9HAU4	Q9BUZ4
P56545	Q9ULK4
P56545	Q9UKL0
Q8N302	Q9NQZ6
Q8N302	Q9UBU9
Q6AW86	Q5JUX0
Q6AW86	P67809
Q01850	P48454
Q01850	O14964
Q03518	P84103
Q03518	Q03519
P53779	Q99541
P53779	Q04206
P67870	O00327
P67870	P04156
Q00597	P00846
Q00597	P08238
Q9UIQ6	Q8WUH6
Q9UIQ6	Q01844
Q92878	P61956
Q92878	Q14999
P07947	P41240
P07947	P35579
P07947	Q9HC97
P63165	Q9BUZ4
P63165	P41597
P29992	P25101
Q16774	Q9HCE1
P55198	Q05639
Q7Z6J2	O43739
Q7Z6J2	P12931
P25101	Q8WUI4
P37198	Q9HD26
Q8TAQ2	Q14676
Q9NRS6	O60341
Q9Y2G8	Q71U36
P29692	Q04206
P29692	P60033
P29692	Q06124
P29692	Q7Z6Z7
P29692	Q14258
P29692	P05067
P29692	P62993
P29692	Q14999
P29692	P27986
P29692	Q9NQC7
P29692	P01241
P29692	O00400
P29692	P15408
Q9UQL6	P35579
Q9UQL6	P62873
Q7Z434	P19525
Q7Z434	P0C7P0
P51808	P63172
O43559	P22681
P55884	O00303
P55884	P43246
Q9NPF5	Q9UER7
Q7L4P6	O95153
P10914	Q04206
Q969U6	P60022
Q969U6	P08238
P07437	Q04206
P07437	Q15717
P07437	Q96QD9
P07437	Q13620
P07437	Q9NQP4
P07437	P62195
P07437	P68366
P07437	Q13617
Q06124	P36955
O15503	P17980
Q9Y5A6	Q9NWS9
Q9Y5A6	Q96IT1
Q9Y5A6	P17028
Q969G3	Q08379
P50991	Q04206
P50991	Q9C0B0
P50991	Q969R5
P50991	Q9BRX9
P50991	Q13573
P50991	P05161
P50991	Q99459
P50991	P62993
Q9H4B6	O14782
Q9H4B6	Q04917
Q99816	P22681
Q8WVF5	P51116
Q8WVF5	Q5JVL4
Q8WVF5	P16591
Q96IJ6	P19838
P06733	P61956
P62807	Q15056
P49116	Q9NYJ8
P49116	Q09028
O14786	P49763
O14786	P21333
P0C7P0	Q8N4H5
P51659	P08567
P51659	P01100
P51116	Q04917
P13164	P60033
P50990	Q04206
P50990	Q96SW2
P50990	Q13043
P50990	P04049
Q9Y5B9	P61956
Q7L7L0	P49736
Q12926	Q8IUH3
P01100	Q04206
P01100	P09237
P01100	P12814
Q8TBF5	Q9UKB1
Q8TBF5	P20309
P98164	Q5SW96
P98164	P57105
P78527	Q04206
P78527	P34947
P78527	P40692
Q9UPY8	Q14203
Q9UBQ5	O00303
Q9H0U9	Q9HD23
Q9H0U9	Q15717
Q86VW0	Q9UER7
P06748	Q08379
P51668	Q04206
P51668	P55055
P51668	Q96PU5
P51668	Q15714
Q99962	P22681
Q99962	P00488
Q8NHQ1	O95251
P30556	P05408
P30556	P16152
Q9UKB1	Q04206
Q9UKB1	P19838
Q9UKB1	Q9NRA8
Q9UKB1	P51617
P55854	P63172
P08238	Q04206
P08238	P16591
P08238	Q92630
P08238	P11362
P08238	O95817
P08238	P04899
P08238	P32121
P08238	O15519
P08238	P08581
P08238	Q00534
P08238	P22607
P08238	P15056
P08238	P62993
Q8WWM7	P67809
P54920	P27694
P31946	P22681
Q9HCD5	Q16543
Q8WXF8	Q99729
Q8WXF8	O43251
Q8WXF8	Q92851
Q8WXF8	O75618
Q8WXF8	O15519
Q8WXF8	Q00534
Q8WXF8	Q96GN5
P61769	P02511
P61769	Q03519
Q96GM5	Q14676
Q9NRW1	P27694
Q9NRW1	Q7L8A9
Q9NRW1	P84077
P30281	P12004
Q9UBU9	Q9NX57
Q9UBU9	Q8IYN2
Q9UBU9	Q00403
Q9UBU9	P48201
Q9UBU9	Q9H246
Q9UBU9	P49916
Q9UBU9	Q9NUM3
Q9UBU9	O75618
Q9UBU9	O75439
Q9UBU9	Q8TEU7
O14686	Q8IUH3
O14686	Q9C005
Q08211	Q04206
Q08211	P16333
Q08211	Q9Y5S9
Q08211	Q07666
Q08211	P30419
P61981	P35579
P61981	Q5VTL8
Q07021	O43865
Q07021	Q4J6C6
Q07021	Q96C55
Q9Y287	P02545
P51965	Q04206
P51965	Q9UK22
P51965	Q5VTB9
Q9HCE1	Q96FQ6
Q9HCE1	Q9NXF8
Q9HCE1	P48201
Q9HCE1	Q8N8U2
Q9HCE1	Q8WW12
Q13137	Q9BUZ4
Q13137	O00214
O60519	Q15717
Q9Y3C6	Q8IZ63
Q9Y3C6	Q01844
Q15772	P27348
Q15843	P16989
Q15843	Q05639
P56524	Q08379
P51532	Q14676
P51532	Q00765
Q99541	P84077
Q99541	P04114
Q13247	Q09028
Q8WW12	P02545
Q71SY5	P51610
P62736	P35579
P62736	Q92187
P60022	Q10713
P60022	P09237
P60022	P08670
P60022	O60551
P60022	Q5UIP0
P60022	O75439
P60022	P30419
P60022	P54257
P60022	P14735
Q8NFH5	P35658
Q8NFH5	Q16666
P52701	P54132
P52701	P04637
P20585	P27694
Q92522	P67809
Q92522	Q16666
Q02535	Q68DY1
Q02535	Q16666
Q02535	P19419
Q93008	O43865
Q96QD9	O60262
Q96EY1	Q04206
Q96EY1	P20309
P57105	P60709
P10809	P04637
Q9C0B0	P56378
Q9C0B0	P60709
Q04917	Q04206
Q04917	P42336
Q04917	Q86X19
Q04917	P35568
Q04917	P08754
Q04917	Q8TEW0
O95990	O15162
Q86SE5	Q96EZ8
Q86SE5	P67809
Q9NR30	Q04206
Q9NR30	Q8IXZ2
Q15233	P27694
Q15233	O15488
Q06830	P27694
P12236	Q04206
P12236	P40967
P12236	Q8WWB7
P09884	P27694
P09884	Q9H668
Q8N5U6	P07900
P09429	Q15661
P09429	Q04206
Q15654	Q04206
Q15654	P34897
Q15654	Q5JVL4
Q15654	Q6UY14
Q15654	P0C7X2
P05141	Q04206
P05141	Q14999
O60437	O43865
O95793	Q08379
O95793	P40616
Q13162	Q01844
Q13162	P0CG48
P27348	P35579
Q9BSJ6	Q08379
P84243	P29590
O60760	Q96GS6
O60760	Q96B67
O75177	Q15427
O75177	O14964
Q5VSY0	O14964
Q5VSY0	P28845
Q9H9H4	P67809
P17028	Q13432
P17028	P04637
Q9UKV0	P61956
Q96B97	Q14676
Q9Y3Q8	Q08379
P48730	P29590
Q96F46	O15379
Q96F46	Q8NCM8
Q96F46	Q8NAC3
P0CG48	Q04206
P0CG48	P98066
P0CG48	Q92624
P0CG48	Q15369
P0CG48	Q9NRR5
P0CG48	Q14192
P0CG48	P84077
P0CG48	Q16763
P0CG48	Q9NX40
P0CG48	Q9UHL9
P0CG48	O00560
P0CG48	Q04771
P0CG48	P36897
P0CG48	Q96AD5
P0CG48	P14735
P19474	P22681
Q14289	Q9BUZ4
Q14289	P17948
