source	target
Q96EY1	Q71U36
Q96EY1	O14654
P62736	P67809
P06748	P19474
P06748	Q13162
P06748	P62807
P06748	P25705
P06748	P29590
P06748	P27986
P49736	Q93077
P49736	P08238
P49736	P24666
Q13247	Q08170
Q00597	P00846
Q00597	P07900
P08559	O14734
P08559	P11940
P08047	P00846
P08047	P07900
P08047	Q16666
Q9BQE3	Q96CS3
Q9BQE3	P25705
Q9BQE3	Q9UJM3
P19525	Q16666
P78371	Q08380
Q8IXZ2	Q9HCE1
Q8IXZ2	O14782
Q92630	O14782
Q92630	P08238
Q9H4B6	O14782
Q9H4B6	O14654
P12236	Q16543
Q9UJM3	P63267
Q92522	Q16666
Q92522	P67809
O75582	Q7L7L0
O75582	P08238
Q9Y5B9	Q9HCE1
Q9Y5B9	Q7L7L0
Q8IYW5	Q7L7L0
Q8IYW5	Q08211
Q8IWL3	Q7Z434
Q8IWL3	O14734
Q05639	Q9ULM2
Q05639	Q16543
Q05639	P55072
P19338	P67809
P19338	Q13243
P19338	Q16778
Q96EK5	O14782
Q96EK5	P55072
P05165	O95816
P49368	Q08380
Q04864	P07437
Q04864	O14734
P05412	Q6NSJ2
P05412	P08238
P05412	P63267
P05412	Q8NCM8
P07437	P67809
P07437	P45973
Q9H2H9	P00846
Q9H2H9	Q71U36
P06733	Q13162
P06733	P04406
P06733	P22061
P06733	P62937
P29590	O14734
Q08170	O95793
P26045	O14734
P26045	P55072
Q8WWM7	P67809
Q8NCM8	Q96F46
P27986	Q9NQZ6
P00338	P07900
P08238	Q8NBE8
P08238	Q9UGI8
P08238	P46108
P08238	P62987
P08238	P25705
P08238	Q99459
P08238	Q5S007
P08238	O00400
P08238	P05161
P62987	Q7L7L0
P16989	P67809
P05166	Q9HCE1
P55072	P19474
P55072	Q9BTM1
Q16543	Q7Z434
O15066	Q9HCE1
O15066	O14782
Q7Z434	O95786
Q15056	P62807
P40227	P07195
P40227	P50991
Q5QJE6	Q7L7L0
Q5QJE6	Q16666
O14782	Q9Y496
O14782	Q99459
O14782	Q13043
P11940	P25705
P11940	O75815
P11940	P56945
P11940	Q13043
P07900	P25705
P07900	Q05655
P07900	Q6P1K2
Q6P1K2	Q9NQZ6
Q9H2X6	Q16778
P22061	P07195
O75815	Q93077
Q16666	Q9BQG0
Q16666	Q8NF91
Q16666	Q9NR30
Q86WJ1	Q7L7L0
Q86WJ1	P84243
Q86WJ1	O60814
P84243	Q9Y496
P84243	Q16778
Q9ULM2	Q9NQZ6
P68104	P67809
P48201	Q9HCE1
Q9UGI8	O60814
Q96CS3	P63267
Q9BQD3	Q9NQZ6
Q9BQD3	Q8N5R6
Q93077	P46108
Q93077	P56945
Q93077	P52757
Q93077	P25054
Q93077	Q8IVM0
Q8NBE8	O14734
Q9HCC0	P10809
Q9HCC0	Q96RQ3
P50542	Q9HCE1
P50542	O14734
O95793	P25705
P50991	Q08380
Q08380	P50990
Q08380	Q99623
Q08380	O95816
Q08380	P10809
Q08380	O14654
P05161	O14734
Q16778	P10809
Q9H845	P00846
Q9H845	P25705
Q9NQZ6	Q9NP66
Q9NQZ6	Q8N302
Q7L7L0	Q08945
Q7L7L0	P45973
O00400	P00846
Q8IVM0	P05141
P12277	P07195
P05141	P25705
P25054	P25705
P25705	Q9HCE1
P25705	P52757
Q9HAV7	Q9HCE1
Q9HCE1	Q9NP66
Q9HCE1	Q8N302
Q06830	Q71U36
O60814	Q05655
Q08211	P67809
Q08211	Q08945
P26196	P67809
Q5S007	P63267
